"","MRK","DIS","T","VZ","RTX","BA","MMM","DD","TRV","MDLZ"
"T+1",0.00198219031718568,0.00340589959006297,0.00274453121001821,7.79383436477583e-05,0.00231919415409581,0.00223077330800941,0.00386837446955914,0.00451156020957243,-0.000915240569297339,-0.00119859066703034
"T+2",0.00173936122362319,0.002373717675649,0.0012426515443858,-0.000696674040852483,0.00168160259810201,0.00179973225649251,0.00188698648878421,0.00192500528149819,0.00020764314373603,-0.000706422169514664
"T+3",0.00130571590291609,0.000898661377314826,0.000175928469484447,-0.000278991645600672,0.00174349914298062,0.00242798281384673,0.00142486380436774,0.00219469453744592,0.000110038701877372,1.21957408085353e-05
"T+4",0.00143568033505435,0.00141703532895032,0.000592261679055672,-0.000251042530202201,0.00172827080854762,0.00189765291793427,0.00171503166469081,0.00201854668964767,0.000204827283297837,-0.000402677379686286
"T+5",0.0014250676583665,0.00139226963016422,0.000659968251640543,-0.000293271895087272,0.00173659865760105,0.00235193313218621,0.00173700745018807,0.00192391858029968,0.000264364498265803,-0.000253764925843066
"T+6",0.00142064331205646,0.00135509056760573,0.000588836467295827,-0.000291366877379288,0.00173114619659686,0.00196299271945909,0.0016997615678033,0.00182567093720538,0.000325592262632634,-0.000293035108836023
"T+7",0.00142242451936916,0.00136804916213882,0.000593221414018039,-0.000287604814654919,0.00173479530043291,0.00229599696250124,0.00170140921538818,0.0017367000823964,0.000382765553835915,-0.000286248444787081
"T+8",0.00142219407490383,0.00136745616156909,0.00060227631654953,-0.000288187320410388,0.00173234727015316,0.0020108844943454,0.00170567693063569,0.00165427589119504,0.000437012901351697,-0.000286198366863956
"T+9",0.00142215624737777,0.00136651912942115,0.000599907085133385,-0.000288478186521269,0.00173398997148797,0.00225499285878005,0.00170498966413849,0.00157821904508864,0.000488343424158189,-0.000286837376831982
"T+10",0.00142217929409114,0.00136684305766386,0.000599106137682957,-0.000288392271560651,0.00173288763963836,0.00204599149895922,0.0017045579049139,0.00150798945207851,0.000536936584690956,-0.000286512530568929
"T+11",0.00142217522582027,0.00136682889045079,0.00059959165069701,-0.000288374168285181,0.00173362735966782,0.00222493484860287,0.00170468972815913,0.00144314836110643,0.000582934710378428,-0.000286622232469646
"T+12",0.00142217502798317,0.00136680527603906,0.000599608907470618,-0.000288384179940396,0.00173313097022344,0.00207172664742602,0.00170472625489935,0.00138328109473966,0.000626476973466558,-0.000286595038725988
"T+13",0.00142217530872531,0.00136681337288321,0.00059953793883358,-0.000288384806302507,0.00173346407258513,0.00220290085956965,0.00170470628587842,0.00132800631870314,0.00066769439869573,-0.000286599143521133
"T+14",0.00142217524445359,0.00136681303525392,0.000599549318220754,-0.000288383798757499,0.0017332405440935,0.00209059176776301,0.00170470420824666,0.00127697170593626,0.00070671113069415,-0.000286599484793448
"T+15",0.0014221752459925,0.00136681244018576,0.00059955699202014,-0.000288383848010459,0.00173339054298975,0.00218674886980545,0.00170470683638299,0.00122985199586583,0.000743644667069547,-0.00028659893800623
"T+16",0.00142217524917597,0.0013668126425616,0.000599553916897898,-0.000288383937361237,0.00173328988616201,0.00210442082205381,0.00170470678318181,0.00118634687261739,0.000778606234962928,-0.000286599189006858
"T+17",0.00142217524823552,0.00136681263453729,0.000599553445386368,-0.000288383923150005,0.00173335743197217,0.00217490867269229,0.00170470647480236,0.00114617905876747,0.000811701122351073,-0.000286599109035279
"T+18",0.00142217524830977,0.00136681261954308,0.000599553965229195,-0.00028838391628218,0.00173331210532545,0.00211455819404835,0.00170470651658288,0.00110909254688316,0.000843028995715808,-0.000286599127577041
"T+19",0.00142217524834247,0.00136681262460106,0.000599553929938397,-0.000288383918353727,0.00173334252179241,0.00216622923011431,0.00170470654868622,0.00107485096807206,0.000872684200098013,-0.000286599125245585
"T+20",0.00142217524832954,0.00136681262441093,0.000599553864393859,-0.000288383918776567,0.00173332211080839,0.00212198938267446,0.00170470653999991,0.00104323608546583,0.000900756043236552,-0.000286599124771999
"T+21",0.00142217524833118,0.00136681262403314,0.00059955388203812,-0.000288383918536635,0.00173333580760852,0.00215986677493349,0.00170470653715589,0.00101404640330438,0.000927329064519328,-0.000286599125226759
