"","HD","DIS","T","VZ","RTX","BA","DD","MMM","TRV","MDLZ"
"T+1",0.00299546091117796,0.00224816277644403,0.00131292103037549,-0.00361257922540118,-0.000265800196242009,0.000116813360023536,-0.0013041148122152,0.00157524740331736,0.000642868940882392,0.000336097627661129
"T+2",0.00197774894390364,0.00198877912631551,0.00106595017814945,-0.00319604884263097,0.00327768650789451,0.00215109841364275,0.000782434789119341,0.00153879786485385,0.00260587339247905,0.000518911753511304
"T+3",0.00198727150646779,0.00209281410363442,0.000747326020569136,-0.0029037004018301,0.00141425147188436,0.00120891023588564,0.000664565010005003,0.00152507023088745,0.00222730978656093,-2.45389384386251e-05
"T+4",0.00192062908687124,0.00213533189619165,0.000749957591087067,-0.00264283611129503,0.00268491139489125,0.00181460948249792,0.0009282469919398,0.00151869050561985,0.00221230967977476,0.000513996216923289
"T+5",0.00186369910656054,0.0021601935722079,0.000780551966270485,-0.00240474739846612,0.00187045866483634,0.0014505801422635,0.00108620604581834,0.00151572420043431,0.00215052874408977,2.98157252088031e-05
"T+6",0.0018095644130433,0.00217407839277923,0.00078231219420065,-0.00218704622600307,0.00239966968106597,0.00167209925538367,0.00123577699035618,0.00151434499135064,0.00210311594329605,0.000458307167658799
"T+7",0.00175856159363985,0.00218187260565788,0.000779506856845991,-0.00198795746061169,0.002056854141515,0.00153761605167329,0.00136232975425177,0.0015137037162352,0.00205998964749138,8.01357318684585e-05
"T+8",0.00171047279660695,0.00218624533133431,0.000779154353101926,-0.00180588767892668,0.00227907764406521,0.00161929613410938,0.00147202353600445,0.0015134055498596,0.00202193989338606,0.000413736587898681
"T+9",0.00166513439366389,0.00218869868821337,0.000779399022990731,-0.00163938186559307,0.00213504770576855,0.00156969080685841,0.00156659589849617,0.00151326691484102,0.0019881955226023,0.000119478054906558
"T+10",0.00162238885516527,0.00219007515581364,0.000779448765346641,-0.00148710954603152,0.00222840118204298,0.00159981720654917,0.00164822774133395,0.0015132024552978,0.00195829575383635,0.000379030164376008
"T+11",0.00158208791484788,0.00219084743018831,0.000779428675340927,-0.00134785399103574,0.00216789428646843,0.00158152083897692,0.00171867136401219,0.00151317248427926,0.00193179857138648,0.000150091610775068
"T+12",0.00154409176587729,0.00219128071873996,0.000779422605223569,-0.00122050248248524,0.00220711179468736,0.0015926325965738,0.00177946369036573,0.00151315854899663,0.00190831736525269,0.000352027312950283
"T+13",0.00150826859845372,0.00219152381753643,0.000779424124271085,-0.00110403742131613,0.00218169299997487,0.00158588420000691,0.00183192635273067,0.00151315206966723,0.00188750875807804,0.000173909543294199
"T+14",0.0014744941407958,0.00219166020938095,0.000779424803701738,-0.000997528196356396,0.00219816817164723,0.00158998263868444,0.00187720079482814,0.00151314905704734,0.00186906857209705,0.000331018658129321
"T+15",0.00144265122817514,0.00219173673273494,0.00077942470333767,-0.00090012374829575,0.0021874898023755,0.00158749357341308,0.00191627189313762,0.00151314765630384,0.00185272723316683,0.000192440267263728
"T+16",0.00141262939645727,0.00219177966656082,0.000779424631868882,-0.000811045769317067,0.00219441097886246,0.00158900523344189,0.00194998961247034,0.00151314700501611,0.00183824585253021,0.000314673598071751
"T+17",0.00138432449889864,0.00219180375480721,0.000779424636752521,-0.000729582484047114,0.00218992502387269,0.00158808717152174,0.00197908745235516,0.00151314670219428,0.00182541273115502,0.000206857458297252
"T+18",0.00135763834485804,0.00219181726964317,0.000779424643897248,-0.000655082962133152,0.00219283259200255,0.00158864472922201,0.00200419841206273,0.00151314656139467,0.00181404026548631,0.000301956887551752
"T+19",0.0013324783591699,0.0021918248522122,0.000779424643900715,-0.000586951917000161,0.00219094805405051,0.00158830611307608,0.00202586875938079,0.00151314649592868,0.00180396220484784,0.000218074256774708
"T+20",0.00130875726099803,0.002191829106452,0.000779424643218784,-0.000524644949228282,0.00219216951581309,0.00158851176155735,0.00204456991451409,0.00151314646548971,0.00179503122108499,0.000292063089318012
"T+21",0.00128639276105537,0.00219183149331538,0.000779424643173618,-0.000467664196542806,0.00219137782635105,0.00158838686704668,0.00206070870537711,0.00151314645133685,0.00178711675481674,0.000226801100150418
