"","MRK","PG","CVX","GS","DIS","BA","HD","WMT","KO","T"
"T+1",0.0035883969137544,0.00299471034979381,0.000915014586162805,0.00145938181401797,0.00206142433172986,0.00301196816284871,0.000710893027040564,4.39710793207132e-05,0.00157075602275648,-0.000267535293318858
"T+2",-0.000955432296566953,0.00142859024758839,-0.00264447419310927,-0.000272671927185204,0.00101868088854798,0.00236860864759345,0.000320643379715865,8.98472001793652e-05,-0.000754087413655912,-0.000247420439692271
"T+3",0.00301060606785903,0.000568780148034036,-0.00169326765112901,0.000326156851808495,0.00115872449846767,0.00207411291044372,0.00072601534423405,0.000118301927061902,-6.34032041379943e-05,-0.00027961779494892
"T+4",-0.000663219545877379,0.000457751461300958,-0.00133659065802198,0.000282110153666839,0.00116420533306138,0.00221141721893196,0.000335501284602322,0.000141560240886116,-0.00010770318070021,-0.000273397563973097
"T+5",0.00274684966889873,0.000490907098765704,-0.0010278915209642,0.000317674188985505,0.00117670084470749,0.00217176300285813,0.000712331524622489,0.00016066133136609,-5.67988172522416e-06,-0.000273356669193307
"T+6",-0.000418612243218568,0.00050756931057834,-0.00079642663171826,0.000319091287552196,0.00118388001190806,0.0021810739415894,0.000348719595231692,0.000176349367501113,4.2554807959053e-05,-0.000273638697076183
"T+7",0.00251979481072624,0.000509518275880126,-0.000619714674082273,0.000321706598290185,0.00118863941552509,0.00217919157343451,0.00069957719088114,0.000189234219992754,8.78792335870113e-05,-0.000273578273656979
"T+8",-0.000207843963810076,0.000508822925637399,-0.000485126200092426,0.00032213006910791,0.00119171963042487,0.00217951908996322,0.000361026554952428,0.000199816769959575,0.000121745595842638,-0.000273579225483655
"T+9",0.00232414468374564,0.000508500894293174,-0.000382587764696709,0.000322362227250719,0.00119372078330817,0.00217947285609222,0.000687701920007656,0.000208508399444532,0.000148750666760554,-0.000273581667485901
"T+10",-2.62275765833238e-05,0.000508467166371566,-0.000304470423906428,0.00032242022892799,0.00119502008535033,0.00217947685033157,0.000372485279400624,0.00021564698356092,0.00016986782948694,-0.000273581086979047
"T+11",0.00215555541342791,0.000508481632496266,-0.000244957594808209,0.000322443383923365,0.00119586377622744,0.00217947724044011,0.000676645130875219,0.000221510024924448,0.000186476527514128,-0.000273581107865383
"T+12",0.000130268995676989,0.000508487839599765,-0.00019961843923337,0.000322450249884474,0.00119641161100467,0.00217947692979197,0.000383154231819608,0.000226325441184867,0.00019951689346375,-0.000273581128736097
"T+13",0.00201028414507792,0.000508488412899687,-0.000165077328428747,0.000322452694190031,0.00119676733811858,0.00217947703082731,0.00066635041110123,0.000230280425010389,0.000209760792569851,-0.000273581123215098
"T+14",0.00026512013716342,0.000508488114046569,-0.00013876258335919,0.000322453469934696,0.00119699832332074,0.00217947700549777,0.000393087845829957,0.000233528720944576,0.00021780670128311,-0.000273581123517072
"T+15",0.00188510570775347,0.000508487994733335,-0.000118714999680124,0.00032245373431986,0.00119714830954647,0.0021794770108989,0.000656765236422078,0.000236196602013511,0.00022412651697429,-0.00027358112369277
"T+16",0.000381319681329448,0.000508487985214493,-0.000103441980305666,0.000322453820496618,0.00119724570049382,0.00217947700990232,0.000402336803312514,0.000238387778415597,0.000229090473111516,-0.000273581123640756
"T+17",0.00177724101194012,0.000508487991350392,-9.18064074329659e-05,0.000322453849376638,0.00119730893961193,0.00217947701005639,0.00064784070271481,0.000240187429112536,0.000232989472583185,-0.00027358112364452
"T+18",0.000481447377065352,0.000508487993637431,-8.29419810378943e-05,0.000322453858888763,0.00119735000283358,0.00217947701003919,0.000410948292990391,0.00024166551304403,0.00023605198534565,-0.000273581123645972
"T+19",0.00168429535091744,0.00050848799379047,-7.61887204830962e-05,0.000322453862055768,0.00119737666652249,0.00217947701003936,0.000639531276485427,0.000242879488685113,0.000238457471101366,-0.000273581123645487
"T+20",0.000567726161765721,0.000508487993665184,-7.10438271658767e-05,0.00032245386310312,0.00119739398012522,0.00217947701004,0.000418966251188604,0.000243876547665148,0.000240346887267378,-0.00027358112364553
"T+21",0.00160420523581722,0.000508487993621471,-6.71242497956886e-05,0.000322453863450946,0.00119740522241208,0.00217947701003975,0.00063179456255433,0.000244695449277361,0.000241830950745864,-0.000273581123645542
